Name,Default,Condition,Preference,Description
Assets,0,,us-gaap:Assets|Instant,
CurrentAssets,0,,us-gaap:AssetsCurrent|Instant,
NoncurrentAssets,0,,"us-gaap:AssetsNoncurrent|Instant,eval(Assets-CurrentAssets)",
LiabilitiesAndEquity,0,,"us-gaap:LiabilitiesAndStockholdersEquity|Instant,us-gaap:LiabilitiesAndPartnersCapital|Instant",
Liabilities,0,,us-gaap:Liabilities|Instant,
CurrentLiabilities,0,,us-gaap:LiabilitiesCurrent|Instant,
NoncurrentLiabilities,0,,"us-gaap:LiabilitiesNoncurrent|Instant,eval(Liabilities-CurrentLiabilities)",
CommitmentsAndContingencies,0,,us-gaap:CommitmentsAndContingencies|Instant,
TemporaryEquity,0,,"us-gaap:TemporaryEquityRedemptionValue|Instant,us-gaap:RedeemablePreferredStockCarryingAmount|Instant,us-gaap:TemporaryEquityCarryingAmount|Instant,us-gaap:TemporaryEquityValueExcludingAdditionalPaidInCapital|Instant,us-gaap:TemporaryEquityCarryingAmountAttributableToParent|Instant,us-gaap:RedeemableNoncontrollingInterestEquityFairValue|Instant",
RedeemableNoncontrollingInterest,0,,"us-gaap:RedeemableNoncontrollingInterestEquityCarryingAmount|Instant,us-gaap:RedeemableNoncontrollingInterestEquityCommonCarryingAmount|Instant",
TemporaryEquity,0,,eval(TemporaryEquity+RedeemableNoncontrollingInterest),
Equity,0,,"us-gaap:StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest|Instant,us-gaap:StockholdersEquity|Instant,us-gaap:PartnersCapitalIncludingPortionAttributableToNoncontrollingInterest|Instant,us-gaap:PartnersCapital|Instant,us-gaap:CommonStockholdersEquity|Instant,us-gaap:MemberEquity|Instant,us-gaap:AssetsNet|Instant",
EquityAttributableToNoncontrollingInterest,0,,"us-gaap:MinorityInterest|Instant,us-gaap:PartnersCapitalAttributableToNoncontrollingInterest|Instant",
EquityAttributableToParent,0,,"us-gaap:StockholdersEquity|Instant,us-gaap:LiabilitiesAndPartnersCapital|Instant",
Assets,0,not Assets and LiabilitiesAndEquity CurrentAssets == LiabilitiesAndEquity,CurrentAssets,
Assets,0,not Assets and not NoncurrentAssets and LiabilitiesAndEquity and LiabilitiesAndEquity == (Liabilities + Equity),CurrentAssets,
NoncurrentAssets,0,Assets and CurrentAssets,eval(Assets - CurrentAssets),
LiabilitiesAndEquity,0,not LiabilitiesAndEquity and Assets,Assets,
Equity,0,EquityAttributableToNoncontrollingInterest and EquityAttributableToParent,eval(EquityAttributableToParent + EquityAttributableToNoncontrollingInterest),
Equity,0,not Equity and not EquityAttributableToNoncontrollingInterest and EquityAttributableToParent,EquityAttributableToParent,
Equity,0,not Equity,eval(EquityAttributableToParent + EquityAttributableToNoncontrollingInterest),
EquityAttributableToParent,0,Equity and EquityAttributableToNoncontrollingInterest and not EquityAttributableToParent,eval(Equity - EquityAttributableToNoncontrollingInterest),Impute Equity attributable to parent based on existence of equity and noncontrolling interest.
EquityAttributableToParent,0,Equity and not EquityAttributableToNoncontrollingInterest and not EquityAttributableToParent,Equity,Impute Equity attributable to parent based on existence of equity and noncontrolling interest.
Liabilities,0,not Liabilities and Equity,eval(LiabilitiesAndEquity - (CommitmentsAndContingencies + TemporaryEquity + Equity)),
NoncurrentLiabilities,0,Liabilities and CurrentLiabilities,eval(Liabilities - CurrentLiabilities),This seems incorrect because liabilities might not be reported
Liabilities,0,not Liabilities and CurrentLiabilities and not NoncurrentLiabilities,CurrentLiabilities,
lngBSCheck1,0,,eval(Equity - (EquityAttributableToParent + EquityAttributableToNoncontrollingInterest)),
